age_check,agree_rules,consent,age_1,mc_background,mc_player,mc_collab,expertise_1,expertise_2,expertise_3,mc_act,mc_act_8_TEXT,mc_dim,mc_mode,mc_level,mc_friends,mc_num_ppl,age_2,study_ref,study_ref_5_TEXT
Yes,Yes,Yes,22,Yes,Both,Yes,9,9,8,"Exploring,Crafting,Surviving,Combat w/ Players,Combat w/ Monsters,Experience",,The Overworld,"Creative,Survival,Adventure,Hardcore,Spectator","Hard,Hardcore Mode",No,,,Other(s),Email from Charlese Hilton-Brown
Yes,Yes,Yes,22,Yes,Multiplayer,Sometimes,8,7,8,"Building,Exploring,Crafting",,The Overworld,Survival,Normal,No,,,From a friend,
Yes,Yes,Yes,19,No,,,,,,,,,,,No,,,Other(s),
Yes,Yes,Yes,18,Yes,Both,,,,,,,,,,,,,,
Yes,Yes,Yes,18,Yes,Multiplayer,Sometimes,6,7,5,"Building,Crafting,Surviving,Experience,Other",Farming/automating,The Overworld,"Creative,Survival","Peaceful,Easy,Hard",Yes,3,18,Dept. email,
Yes,Yes,Yes,18,Yes,Both,Sometimes,10,10,7,"Building,Exploring,Experience,Other",I code server plugins,The Overworld,"Creative,Survival,Spectator",Hard,No,,18,From a friend,
Yes,Yes,Yes,21,Yes,Both,Sometimes,8,5,7,"Exploring,Surviving",,The Nether,"Survival,Hardcore","Easy,Hardcore Mode",No,,21,In class,
Yes,Yes,Yes,18,Yes,Both,Yes,10,9,10,Exploring,,The Overworld,Survival,Normal,No,,18,From a friend,
Yes,Yes,Yes,18,Yes,Both,Yes,8,6,7,"Experience,Other",Redstone/farms,The Overworld,"Creative,Survival",Hard,No,,18,Dept. email,
Yes,Yes,Yes,21,Yes,Both,Sometimes,6,5,6,"Building,Exploring,Crafting,Surviving,Experience",,The Overworld,"Creative,Survival","Peaceful,Easy",No,,21,From a friend,
Yes,Yes,Yes,23,Yes,Both,,,,,,,,,,,,,,
Yes,Yes,Yes,21,Yes,Singleplayer,,9,8,7,"Building,Crafting",,The Overworld,Survival,Hard,No,,,,
Yes,Yes,Yes,20,Yes,Both,Yes,9,9,9,"Building,Exploring,Crafting,Surviving,Combat w/ Players,Combat w/ Monsters,Experience",,The Overworld,"Survival,Hardcore","Easy,Normal,Hard,Hardcore Mode",No,,20,Dept. email,
Yes,Yes,Yes,18,Yes,Both,Sometimes,7,7,5,"Building,Exploring,Crafting,Surviving,Combat w/ Monsters,Experience",,The Overworld,"Creative,Survival","Peaceful,Easy,Normal",No,,18,Dept. email,
Yes,Yes,Yes,21,Yes,Both,Sometimes,6,7,10,"Building,Exploring,Crafting,Surviving",,The Overworld,Survival,"Easy,Normal",No,,21,Dept. email,
Yes,Yes,Yes,21,Yes,Both,Sometimes,7,4,9,"Building,Exploring,Experience",,The Overworld,"Survival,Hardcore","Hard,Hardcore Mode",No,,21,Dept. email,
Yes,Yes,Yes,19,Yes,Multiplayer,Sometimes,10,10,10,Combat w/ Players,,The Overworld,Survival,Normal,No,,19,Dept. email,
Yes,Yes,Yes,19,Yes,Multiplayer,Sometimes,5,4,6,"Building,Exploring,Crafting,Surviving",,The Overworld,Survival,Normal,No,,19,Dept. email,
Yes,Yes,Yes,19,Yes,Both,,9,10,9,"Surviving,Combat w/ Players",,The Overworld,"Creative,Survival,Hardcore","Hard,Hardcore Mode",No,,19,Dept. email,
Yes,Yes,Yes,21,Yes,Singleplayer,,10,10,10,"Building,Combat w/ Players",,"The Overworld,The Nether",Survival,"Hard,Hardcore Mode",No,,21,Dept. email,
Yes,Yes,Yes,20,Yes,Both,Yes,8,8,8,"Building,Exploring,Crafting,Surviving,Combat w/ Monsters",,The Overworld,Survival,Normal,No,,20,From a friend,
Yes,Yes,Yes,18,Yes,Both,Sometimes,8,8,8,"Building,Exploring,Crafting,Experience",,The Overworld,Survival,Normal,No,,18,Dept. email,
