x,y,z,player,worldName,worldTime
-2560,66,645,24,world,21570104
-2562,64,634,24,world,21570142
-2569,67,613,24,world,21570233
-2574,64,605,24,world,21570298
-2569,64,595,24,world,21570477
-2559,62,586,24,world,21570684
-2548,62,575,24,world,21570733
-2538,62,561,24,world,21570780
-2530,62,546,24,world,21570824
-2516,62,538,24,world,21570865
-2500,62,536,24,world,21570906
-2489,62,530,24,world,21571244
-2479,62,521,24,world,21571316
-2468,62,508,24,world,21571359
-2458,62,496,24,world,21571398
-2447,62,482,24,world,21571443
-2438,62,473,24,world,21571475
-2437,62,457,24,world,21571517
-2436,63,452,24,world,21571729
-2436,58,447,24,world,21571807
-2435,62,448,24,world,21571856
-2436,62,463,24,world,21572037
-2432,77,461,24,world,21572230
-2432,97,461,24,world,21572263
-2432,117,461,24,world,21572295
-2432,137,461,24,world,21572327
-2443,151,459,24,world,21572396
-2449,154,458,24,world,21572450
-2450,156,456,24,world,21572907
-2444,152,457,24,world,21573167
-2440,152,457,24,world,21573193
-2447,153,459,24,world,21573303
-2446,153,458,24,world,21573648
-2448,153,456,24,world,21573725
-2447,152,456,24,world,21573801
-2438,151,457,24,world,21573843
-2439,152,456,24,world,21573892
-2448,153,456,24,world,21574104
-2434,151,460,24,world,21574394
-2431,130,454,24,world,21574643
-2428,89,451,24,world,21574664
-2510,64,618,24,world,21574770
-2510,66,603,24,world,21574826
-2508,66,596,24,world,21574847
-2507,64,591,24,world,21574863
-2502,64,580,24,world,21574897
-2498,64,578,24,world,21574912
-2493,64,574,24,world,21574933
-2489,67,569,24,world,21574956
-2482,67,561,24,world,21574992
-2481,64,554,24,world,21575024
-2479,60,543,24,world,21575068
-2472,62,524,24,world,21575187
-2443,62,476,24,world,21575486
-2434,63,462,24,world,21575617
-2432,63,458,24,world,21575979
-2433,68,460,24,world,21576121
-2428,69,453,24,world,21576171
-2426,63,448,24,world,21576288
-2426,62,448,24,world,21576373
-2433,63,464,24,world,21576763
-2432,73,461,24,world,21576912
-2432,91,461,24,world,21576941
-2432,110,461,24,world,21576971
-2432,130,461,24,world,21577004
-2432,150,461,24,world,21577036
-2431,147,465,24,world,21577704
-2423,128,465,24,world,21577725
-2416,113,460,24,world,21577740
-2426,100,448,24,world,21577757
-2435,92,450,24,world,21577779
-2434,82,456,24,world,21577800
-2430,63,462,24,world,21579173
-2430,68,461,24,world,21579322
-2431,64,463,24,world,21579442
-2431,65,463,24,world,21579701
-2436,70,457,24,world,21579839
-2434,65,464,24,world,21580403
-2432,83,461,24,world,21580463
-2432,95,461,24,world,21580482
-2441,152,456,24,world,21581029
-2438,151,456,24,world,21581113
-2438,151,455,24,world,21581306
-2447,152,456,24,world,21581406
-2448,154,456,24,world,21581803
-2447,154,456,24,world,21582016
-2445,153,456,24,world,21582207
-2439,151,455,24,world,21583007
-2431,152,458,24,world,21583290
-2437,151,460,24,world,21583599
-2437,151,457,24,world,21583818
-2437,151,456,24,world,21583895
