x,y,z,player,worldName,time
-81,67,2,8,world,759912
-67,67,8,8,world,760236
-70,67,40,8,world,760383
-70,67,38,8,world,760341
-59,68,26,8,world,760506
-70,67,39,8,world,760344
-72,67,-2,8,world,760197
-70,68,38,8,world,760340
-70,68,20,8,world,760461
-38,75,37,8,world,760616
-28,71,38,8,world,760636
4,72,41,8,world,761076
-17,69,35,8,world,760702
2,73,44,8,world,761122
-16,69,36,8,world,760707
2,73,45,8,world,761129
-26,71,38,8,world,760653
3,68,43,8,world,761818
-9,68,36,8,world,761994
-14,69,37,8,world,762041
-26,71,33,8,world,762269
-69,67,10,8,world,762509
-124,64,-1,8,world,762698
-11,69,38,8,world,762022
-28,71,36,8,world,762285
-60,68,23,8,world,762451
-71,67,9,8,world,762519
-104,67,3,8,world,762626
-6,69,38,8,world,761927
-14,68,43,8,world,762102
-42,73,36,8,world,762343
-68,67,14,8,world,762496
-124,63,-1,8,world,762700
-150,64,-8,8,world,762786
-156,66,-8,8,world,762805
-169,69,-8,8,world,762857
-189,64,15,8,world,763027
-173,70,-5,8,world,762873
-185,64,0,8,world,762976
-203,62,19,8,world,763120
-209,65,19,8,world,764167
-218,65,20,8,world,764511
-218,64,20,8,world,764515
-236,69,29,8,world,765426
-224,65,18,8,world,765252
-211,63,22,8,world,764352
-213,64,21,8,world,764789
-217,67,28,8,world,765049
-228,68,26,8,world,765350
-230,70,35,8,world,765539
-241,73,62,8,world,765924
-235,71,39,8,world,765741
-235,71,36,8,world,765511
-234,71,37,8,world,765734
-232,73,51,8,world,765815
-248,72,62,8,world,765956
-283,68,53,8,world,766225
-279,66,46,8,world,766498
-258,63,56,8,world,766610
-279,66,53,8,world,766191
-266,64,52,8,world,766558
-262,63,61,8,world,766051
-282,69,53,8,world,766218
-282,68,53,8,world,766472
-254,64,52,8,world,766664
-263,64,69,8,world,766967
-266,66,77,8,world,767007
-293,63,83,8,world,767187
-314,66,83,8,world,767609
-254,65,54,8,world,766644
-254,63,50,8,world,766773
-259,62,64,8,world,766871
-256,61,49,8,world,766723
-262,64,69,8,world,766956
-275,67,83,8,world,767047
-324,63,98,8,world,769674
-318,64,98,8,world,770143
-326,63,100,8,world,769970
-322,69,98,8,world,770191
-323,69,98,8,world,770213
-325,63,100,8,world,769975
-320,64,104,8,world,770434
-325,68,107,8,world,770495
-334,78,107,8,world,770827
-334,73,108,8,world,770786
-334,78,107,8,world,771116
-335,74,112,8,world,771485
-348,74,119,8,world,771568
-350,75,120,8,world,771590
-357,78,124,8,world,771677
-365,79,128,8,world,771718
-365,77,133,8,world,771801
-348,74,118,8,world,771567
-364,79,127,8,world,771716
-365,77,134,8,world,771802
-348,74,120,8,world,771580
-383,76,128,8,world,771903
-89,67,-13,8,world,772291
-92,67,10,8,world,772436
-83,68,-13,8,world,772174
-88,68,3,8,world,772370
-87,67,-12,8,world,772240
-89,67,8,8,world,772691
-77,67,-12,8,world,773006
-78,68,-11,8,world,773001
-91,67,7,8,world,772628
-72,67,-11,8,world,773020
-60,68,23,8,world,773215
-55,67,14,8,world,773546
-53,63,-7,8,world,773108
-54,64,-8,8,world,773618
