x,y,z,player,worldName,time
-66,67,2,11,world,2202836
-77,67,-6,11,world,2203363
-84,67,6,11,world,2203049
-81,67,-1,11,world,2202362
-95,67,6,11,world,2203105
-66,67,3,11,world,2202839
-89,67,6,11,world,2203068
-82,67,-14,11,world,2203460
-65,67,18,11,world,2203683
-55,65,8,11,world,2203979
-80,67,-10,11,world,2203368
-68,67,15,11,world,2203667
-56,66,8,11,world,2203988
-97,67,7,11,world,2204186
-124,64,63,11,world,2204427
-159,66,68,11,world,2204550
-120,64,56,11,world,2204398
-82,67,-16,11,world,2203452
-52,71,27,11,world,2203769
-100,67,16,11,world,2204221
-130,64,69,11,world,2204460
-49,72,25,11,world,2203824
-82,67,3,11,world,2204127
-113,64,33,11,world,2204305
-117,65,38,11,world,2204331
-184,61,61,11,world,2204650
-227,70,33,11,world,2204882
-259,76,19,11,world,2205691
-207,66,47,11,world,2204753
-255,68,29,11,world,2205009
-183,61,62,11,world,2204645
-229,70,33,11,world,2204890
-263,72,22,11,world,2205639
-199,64,56,11,world,2204719
-244,69,35,11,world,2204956
-268,68,21,11,world,2206340
-260,72,18,11,world,2205985
-258,68,24,11,world,2206959
-260,68,19,11,world,2206940
-261,68,17,11,world,2206828
-246,69,34,11,world,2207061
-227,71,43,11,world,2207365
-215,65,50,11,world,2207644
-235,69,32,11,world,2207108
-221,69,40,11,world,2207338
-210,65,50,11,world,2207584
-222,69,42,11,world,2208065
-241,70,35,11,world,2207083
-223,69,45,11,world,2207413
-217,68,41,11,world,2207698
-230,71,38,11,world,2207942
-249,69,35,11,world,2207040
-224,69,34,11,world,2207260
-217,67,45,11,world,2207449
-223,69,42,11,world,2208063
-218,67,44,11,world,2208084
-220,68,40,11,world,2208428
-220,68,39,11,world,2208425
-221,68,39,11,world,2208422
-228,71,40,11,world,2208353
-214,72,57,11,world,2330862
-196,73,42,11,world,2330745
-216,67,43,11,world,2331655
-211,70,36,11,world,2330643
-212,72,50,11,world,2330835
-226,70,61,11,world,2330927
-206,72,31,11,world,2330664
-207,74,46,11,world,2330796
-230,68,57,11,world,2331189
-218,66,47,11,world,2331494
-206,71,28,11,world,2331789
-186,62,17,11,world,2331925
-173,64,7,11,world,2331988
-159,66,-12,11,world,2332122
-142,64,-4,11,world,2332407
-126,63,17,11,world,2332524
-175,67,-12,11,world,2332265
-152,65,-16,11,world,2332364
-122,64,24,11,world,2332571
-109,66,48,11,world,2332718
-188,62,20,11,world,2331898
-169,69,-10,11,world,2332216
-171,64,2,11,world,2332004
-159,66,-14,11,world,2332129
-167,64,-19,11,world,2332309
-133,63,10,11,world,2332472
-117,65,26,11,world,2332597
-144,65,-7,11,world,2332399
-118,65,26,11,world,2332590
-105,64,70,11,world,2332839
-99,64,92,11,world,2333038
-128,64,76,11,world,2333269
-167,64,69,11,world,2333563
-113,64,85,11,world,2333129
-136,65,79,11,world,2333330
-168,64,68,11,world,2333571
-166,63,55,11,world,2334040
-129,64,77,11,world,2333278
-106,64,90,11,world,2333072
-156,66,73,11,world,2333500
-168,64,61,11,world,2334006
-165,63,52,11,world,2334079
-167,59,61,11,world,2335225
-167,61,59,11,world,2334337
-167,58,62,11,world,2335212
-175,62,52,11,world,2336336
-169,64,63,11,world,2336187
-182,63,52,11,world,2336410
-176,63,52,11,world,2336346
-168,64,61,11,world,2335845
-186,64,53,11,world,2336442
-185,61,29,11,world,2336717
-178,63,14,11,world,2337102
-181,63,15,11,world,2337280
-185,62,26,11,world,2336742
-176,63,17,11,world,2337135
-185,63,8,11,world,2337440
-189,63,7,11,world,2337407
-185,62,28,11,world,2336732
-180,63,16,11,world,2337089
-188,65,37,11,world,2336657
-186,63,5,11,world,2337471
-182,64,7,11,world,2337638
-177,65,9,11,world,2337977
-175,64,6,11,world,2338233
-177,65,9,11,world,2337954
-173,63,4,11,world,2338965
-177,66,9,11,world,2337842
-175,64,11,11,world,2338497
-175,64,10,11,world,2338494
-179,63,4,11,world,2339392
-181,63,4,11,world,2339430
-181,63,10,11,world,2339775
-177,63,17,11,world,2340121
-179,63,9,11,world,2340483
-177,63,12,11,world,2340282
-178,63,10,11,world,2340466
-180,62,8,11,world,2340850
-177,63,8,11,world,2340986
-187,63,12,11,world,2341605
-186,63,11,11,world,2341670
