x,y,z,player,worldName,time
-65,66,-7,17,world,2690319
-81,66,2,17,world,2689719
-59,66,-18,17,world,2690363
-58,65,-20,17,world,2690391
-15,63,-36,17,world,2690650
20,65,-57,17,world,2690869
42,66,-53,17,world,2690976
45,66,-52,17,world,2690991
-2,63,-43,17,world,2690743
44,66,-52,17,world,2690986
22,65,-57,17,world,2690878
71,70,-32,17,world,2691217
135,64,-24,17,world,2691579
89,64,-22,17,world,2691326
115,67,-16,17,world,2691457
131,64,-17,17,world,2691543
133,58,-35,17,world,2691689
119,57,-37,17,world,2692014
133,58,-35,17,world,2692265
136,58,-34,17,world,2691854
155,64,-13,17,world,2692450
161,68,34,17,world,2692716
126,57,-38,17,world,2692200
151,64,-18,17,world,2692421
130,58,-35,17,world,2691888
135,61,-28,17,world,2692305
164,66,-3,17,world,2692517
164,67,23,17,world,2692642
112,65,60,17,world,2693035
139,67,44,17,world,2692858
124,62,80,17,world,2693289
162,60,88,17,world,2693511
168,61,89,17,world,2693543
202,60,90,17,world,2693816
115,60,77,17,world,2693198
126,61,80,17,world,2693312
137,58,83,17,world,2693381
189,62,92,17,world,2693677
223,67,89,17,world,2693958
228,70,88,17,world,2693991
280,69,119,17,world,2694414
262,70,95,17,world,2694159
272,70,108,17,world,2694324
321,69,124,17,world,2694618
329,65,129,17,world,2694670
353,67,123,17,world,2694849
354,66,126,17,world,2694832
287,69,121,17,world,2694447
338,64,129,17,world,2694715
347,62,130,17,world,2694764
364,70,117,17,world,2695033
371,70,107,17,world,2695201
398,71,106,17,world,2695362
392,71,104,17,world,2695316
402,71,108,17,world,2695386
423,72,117,17,world,2695509
446,69,116,17,world,2695634
444,69,115,17,world,2695624
452,70,123,17,world,2695665
385,70,106,17,world,2695258
401,71,108,17,world,2695381
387,71,104,17,world,2695292
447,69,117,17,world,2695640
457,69,126,17,world,2695687
462,68,126,17,world,2695705
469,69,135,17,world,2695746
485,64,148,17,world,2695865
487,64,149,17,world,2695877
484,58,155,17,world,2697310
484,58,155,17,world,2697229
484,58,155,17,world,2697278
485,59,156,17,world,2697939
486,51,162,17,world,2699721
486,45,168,17,world,2700502
486,38,175,17,world,2700432
486,41,172,17,world,2700463
486,52,162,17,world,2700580
490,65,151,17,world,2701024
491,65,151,17,world,2701028
498,69,151,17,world,2701074
508,71,155,17,world,2701218
497,68,150,17,world,2701068
509,71,155,17,world,2701215
498,69,156,17,world,2701258
487,65,154,17,world,2701338
480,69,169,17,world,2701513
481,67,166,17,world,2701450
486,38,175,17,world,2701931
486,44,169,17,world,2701805
492,67,156,17,world,2701303
482,67,163,17,world,2701437
484,65,152,17,world,2701604
494,68,157,17,world,2701288
486,34,179,17,world,2702645
486,32,182,17,world,2702494
486,44,170,17,world,2703360
486,52,161,17,world,2702835
486,46,167,17,world,2702765
486,37,177,17,world,2703422
486,32,182,17,world,2703461
486,20,193,17,world,2704727
486,13,201,17,world,2705213
486,12,201,17,world,2705491
486,27,186,17,world,2705692
486,16,198,17,world,2705523
486,12,202,17,world,2705304
486,25,188,17,world,2705672
476,31,185,17,world,2706916
475,30,183,17,world,2706637
486,31,183,17,world,2707118
475,30,184,17,world,2707046
484,58,155,17,world,2708028
486,58,155,17,world,2708521
486,58,156,17,world,2709291
486,57,157,17,world,2709213
486,58,155,17,world,2709305
486,20,194,17,world,2711702
486,14,200,17,world,2711819
485,58,157,17,world,2711349
486,13,201,17,world,2711806
486,27,186,17,world,2711959
486,36,178,17,world,2712047
486,23,190,17,world,2711921
486,24,190,17,world,2711923
486,29,184,17,world,2711977
486,53,160,17,world,2712245
492,65,146,17,world,2712579
487,64,149,17,world,2712540
486,38,176,17,world,2712058
486,60,153,17,world,2712498
491,65,143,17,world,2712599
480,66,150,17,world,2712645
448,70,178,17,world,2712858
429,69,186,17,world,2713018
424,69,176,17,world,2713064
413,70,169,17,world,2713108
438,70,188,17,world,2712961
411,71,168,17,world,2713117
474,67,151,17,world,2712662
446,72,162,17,world,2712798
450,70,182,17,world,2712895
339,66,111,17,world,2713552
330,63,107,17,world,2713604
316,69,132,17,world,2713855
315,69,137,17,world,2713879
303,69,137,17,world,2714218
285,68,135,17,world,2714338
379,71,144,17,world,2713258
376,69,135,17,world,2713299
357,70,119,17,world,2713457
321,64,155,17,world,2714005
303,69,136,17,world,2714219
316,66,146,17,world,2713949
305,68,140,17,world,2714197
289,69,133,17,world,2714315
265,67,148,17,world,2714454
270,66,155,17,world,2714739
227,62,134,17,world,2715244
261,66,154,17,world,2714779
223,62,128,17,world,2715262
198,62,86,17,world,2715385
191,62,42,17,world,2715497
190,62,21,17,world,2715550
189,62,20,17,world,2715552
194,62,72,17,world,2715421
216,62,119,17,world,2715290
190,62,26,17,world,2715537
178,62,-11,17,world,2715636
191,62,31,17,world,2715525
143,62,-85,17,world,2715878
52,62,-129,17,world,2716296
166,62,-47,17,world,2715732
159,62,-84,17,world,2715837
123,62,-82,17,world,2715929
84,62,-86,17,world,2716027
65,62,-123,17,world,2716156
168,62,-65,17,world,2715777
130,62,-82,17,world,2715911
89,62,-85,17,world,2716014
53,62,-129,17,world,2716298
77,62,-98,17,world,2716534
81,62,-93,17,world,2716421
59,62,-140,17,world,2716651
79,62,-94,17,world,2716416
68,62,-126,17,world,2716608
73,62,-112,17,world,2716368
61,62,-138,17,world,2716644
40,62,-192,17,world,2716850
12,62,-193,17,world,2716933
-1,62,-167,17,world,2717049
-36,62,-141,17,world,2717158
9,62,-190,17,world,2716943
-42,62,-138,17,world,2717175
-74,62,-120,17,world,2717268
-102,62,-102,17,world,2717352
-63,62,-128,17,world,2717234
-30,62,-144,17,world,2717142
38,62,-196,17,world,2716858
-16,62,-155,17,world,2717097
-80,62,-117,17,world,2717285
-159,63,-92,17,world,2717648
-127,62,-97,17,world,2717416
-156,64,-91,17,world,2717689
-151,63,-86,17,world,2718096
-158,63,-84,17,world,2718263
-170,64,-93,17,world,2718675
-152,63,-83,17,world,2718067
-154,63,-90,17,world,2718304
-158,63,-85,17,world,2718261
-155,63,-90,17,world,2718405
-168,64,-90,17,world,2718619
-176,65,-88,17,world,2718986
-164,64,-86,17,world,2719553
-180,67,-91,17,world,2719459
-157,62,-86,17,world,2720225
-153,62,-87,17,world,2720274
-152,62,-86,17,world,2721072
-158,63,-91,17,world,2721295
-157,63,-89,17,world,2721620
-159,63,-84,17,world,2721718
-163,64,-73,17,world,2722237
-154,63,-89,17,world,2722716
-151,63,-87,17,world,2722856
-151,63,-88,17,world,2722852
-159,64,-79,17,world,2722263
-155,64,-92,17,world,2723204
-158,64,-90,17,world,2723139
-154,64,-91,17,world,2723211
-156,64,-84,17,world,2723294
-155,63,-86,17,world,2723349
-156,63,-88,17,world,2723520
-161,63,-82,17,world,2724119
-155,63,-88,17,world,2726411
-156,63,-87,17,world,2726023
-157,63,-81,17,world,2727350
-155,63,-86,17,world,2726802
-154,63,-90,17,world,2727040
-157,63,-78,17,world,2727364
-153,63,-88,17,world,2727055
-159,63,-73,17,world,2727493
-160,63,-74,17,world,2727488
-167,64,-67,17,world,2728027
-162,64,-66,17,world,2728497
-152,63,-83,17,world,2728608
-156,64,-90,17,world,2728803
-155,63,-89,17,world,2728796
-156,63,-87,17,world,2728999
-152,67,-86,17,world,2729341
-153,67,-91,17,world,2729494
-153,67,-85,17,world,2729348
-157,64,-86,17,world,2728957
-152,67,-87,17,world,2729614
-152,67,-89,17,world,2729801
-152,67,-89,17,world,2729604
-153,67,-87,17,world,2729625
-153,63,-87,17,world,2730114
-154,63,-89,17,world,2730263
-158,63,-74,17,world,2730803
-150,63,-87,17,world,2730901
-151,63,-84,17,world,2731147
-151,63,-81,17,world,2731255
-156,63,-74,17,world,2730787
-151,63,-87,17,world,2730671
-155,63,-80,17,world,2730843
-153,63,-77,17,world,2730766
-152,62,-97,17,world,2731682
-144,62,-90,17,world,2731734
-144,62,-93,17,world,2731709
-150,63,-88,17,world,2731312
-152,63,-87,17,world,2733643
-149,63,-87,17,world,2733395
-154,63,-88,17,world,2735489
-153,63,-81,17,world,2735394
-155,63,-89,17,world,2735954
-149,63,-90,17,world,2737244
-146,63,-90,17,world,2737416
-150,63,-86,17,world,2737988
-176,65,-84,17,world,2738422
-176,65,-84,17,world,2738411
-151,63,-90,17,world,2738139
-158,63,-92,17,world,2738302
-179,68,-84,17,world,2738654
-179,67,-77,17,world,2738733
-201,68,-91,17,world,2739128
-203,69,-91,17,world,2739270
-189,64,-69,17,world,2739820
-136,64,-93,17,world,2740643
-171,63,-75,17,world,2739915
-141,64,-93,17,world,2740574
-126,64,-94,17,world,2740852
-126,70,-93,17,world,2740973
-127,72,-92,17,world,2742166
-148,63,-93,17,world,2742382
-125,74,-93,17,world,2742119
-146,63,-93,17,world,2742360
-144,64,-94,17,world,2742615
-146,63,-90,17,world,2743449
-147,63,-91,17,world,2744323
-147,64,-93,17,world,2744358
-145,63,-90,17,world,2743313
-150,63,-86,17,world,2743726
