block,x,y,z,player,worldName,time
CACTUS,500,65,122,30,world,17514305
DEAD_BUSH,516,69,132,30,world,17514435
GRASS,1189,68,52,30,world,17560507
GRASS,1669,72,-271,30,world,17574294
GRASS,1672,73,-279,30,world,17574370
GRASS,1664,73,-282,30,world,17574439
GRASS_BLOCK,1668,70,-266,30,world,17576890
GRANITE,1677,67,-268,30,world,17577251
GRANITE,1678,66,-270,30,world,17577639
GRAVEL,1676,66,-271,30,world,17578056
GRASS_BLOCK,1666,72,-272,30,world,17578541
GRASS,1676,72,-276,30,world,17581360
TALL_GRASS,1679,73,-281,30,world,17581416
DIRT,1662,74,-280,30,world,17592490
GRASS,1653,72,-275,30,world,17592967
GRASS,1674,72,-270,30,world,17593686
DIRT,1668,72,-273,30,world,17594257
GRASS_BLOCK,1665,72,-275,30,world,17594379
GRASS_BLOCK,1669,73,-284,30,world,17595218
SPRUCE_LEAVES,1635,73,-308,30,world,17596167
GRASS,1682,72,-268,30,world,17598736
DIRT,1666,73,-279,30,world,17599604
SPRUCE_LEAVES,1638,75,-314,30,world,17603908
SWEET_BERRY_BUSH,1638,73,-310,30,world,17604144
TALL_GRASS,1650,72,-278,30,world,17605363
DIRT,1666,68,-281,30,world,17608263
STONE,1664,68,-279,30,world,17608535
GRASS,1671,73,-285,30,world,17612911
GRASS,1666,75,-290,30,world,17616761
GRASS,1680,72,-267,30,world,17618264
GRASS,1660,72,-269,30,world,17618664
GRASS,1649,71,-266,30,world,17618943
COAL_ORE,1629,55,-239,30,world,17622307
IRON_ORE,1649,60,-255,30,world,17622857
GRASS,1677,73,-288,30,world,17627689
SPRUCE_LOG,1668,76,-291,30,world,17628440
SPRUCE_LOG,1667,82,-290,30,world,17630146
SPRUCE_LOG,1668,84,-291,30,world,17630286
SPRUCE_LOG,1666,90,-290,30,world,17630615
SPRUCE_LOG,1667,93,-291,30,world,17630827
SPRUCE_LOG,1668,96,-291,30,world,17631060
SPRUCE_LOG,1667,90,-291,30,world,17631374
GRASS,1670,75,-290,30,world,17634447
DIRT,1668,72,-272,30,world,17635120
WALL_TORCH,1658,54,-281,30,world,17641367
COAL_ORE,1619,51,-230,30,world,17642351
COAL_ORE,1618,48,-227,30,world,17643079
STONE,1614,45,-226,30,world,17643448
STONE,1607,38,-226,30,world,17643867
GRANITE,1604,35,-226,30,world,17644100
STONE,1598,29,-226,30,world,17644778
STONE,1594,25,-226,30,world,17645292
STONE,1590,21,-226,30,world,17645479
STONE,1586,17,-226,30,world,17646011
STONE,1579,10,-226,30,world,17646751
DEEPSLATE,1578,10,-228,30,world,17647441
REDSTONE_ORE,1578,10,-231,30,world,17647576
DEEPSLATE,1578,10,-240,30,world,17648200
COPPER_ORE,1578,10,-244,30,world,17648395
STONE,1578,10,-253,30,world,17648963
GRANITE,1581,13,-246,30,world,17649779
STONE,1579,10,-225,30,world,17653408
STONE,1578,11,-221,30,world,17657172
DEEPSLATE,1574,10,-224,30,world,17657760
STONE,1565,10,-224,30,world,17658430
STONE,1573,11,-227,30,world,17659654
STONE,1575,11,-227,30,world,17660442
STONE,1575,11,-230,30,world,17660792
GRANITE,1570,11,-230,30,world,17661002
DIORITE,1565,11,-230,30,world,17661268
COAL_ORE,1570,13,-232,30,world,17661671
STONE,1578,11,-257,30,world,17662794
STONE,1578,11,-262,30,world,17663047
DEEPSLATE,1578,11,-267,30,world,17663389
TUFF,1578,11,-272,30,world,17663727
DIRT,1578,11,-276,30,world,17663929
TUFF,1578,11,-277,30,world,17664232
STONE,1605,37,-226,30,world,17666467
STONE,1613,44,-226,30,world,17666589
STONE,1619,49,-226,30,world,17666938
DIORITE,1624,54,-226,30,world,17667552
DIRT,1629,59,-226,30,world,17668018
GRASS_BLOCK,1636,64,-225,30,world,17668176
DIRT,1664,68,-281,30,world,19168568
DIRT,1666,68,-280,30,world,19168987
STONE,1664,68,-279,30,world,19169329
DIRT,1667,68,-281,30,world,19169994
DIRT,1667,68,-279,30,world,19170209
STONE,1666,68,-277,30,world,19170461
STONE,1667,68,-280,30,world,19177096
DIRT,1666,73,-278,30,world,19178228
GRASS_BLOCK,1665,73,-280,30,world,19178802
ANDESITE,1663,68,-277,30,world,19181099
WHEAT,1680,72,-284,30,world,19185298
GRASS_BLOCK,1656,72,-286,30,world,19185972
GRASS,1651,72,-283,30,world,19186099
GRASS,1682,71,-263,30,world,19194969
STONE,1606,37,-226,30,world,19201355
DEEPSLATE,1552,11,-224,30,world,19202241
DEEPSLATE_COPPER_ORE,1547,11,-224,30,world,19202698
ANDESITE,1544,11,-224,30,world,19203092
ANDESITE,1541,11,-224,30,world,19203535
ANDESITE,1538,11,-224,30,world,19203939
DEEPSLATE,1541,11,-225,30,world,19204378
DEEPSLATE,1541,11,-231,30,world,19204789
STONE,1541,11,-236,30,world,19205163
STONE,1541,11,-243,30,world,19205473
STONE,1618,48,-226,30,world,19206711
IRON_ORE,1622,52,-226,30,world,19207027
DIORITE,1625,55,-226,30,world,19207366
DIRT,1630,60,-226,30,world,19207734
COAL_ORE,1633,66,-267,30,world,19209521
TALL_GRASS,1639,71,-272,30,world,19210055
WHEAT,1680,72,-284,30,world,19210705
DIRT,1666,68,-277,30,world,19222061
DIRT,1666,68,-267,30,world,19222279
SNOW_BLOCK,1795,65,-299,30,world,19223543
STONE,2229,55,-468,30,world,19232519
PODZOL,1669,74,-290,30,world,19241324
