x,y,z,player,worldName,worldTime
-311,19,-916,34,world,18967579
-307,18,-913,34,world,18967974
-311,19,-916,34,world,18968128
-319,19,-924,34,world,18968571
-321,18,-925,34,world,18968598
-313,18,-918,34,world,18969325
-319,19,-921,34,world,18970096
-303,17,-912,34,world,18970312
-303,12,-912,34,world,18970867
-303,9,-912,34,world,18970909
-303,13,-912,34,world,18971904
-306,17,-912,34,world,18972052
-302,16,-912,34,world,18972207
-302,15,-911,34,world,18972327
-302,15,-905,34,world,18973109
-298,16,-904,34,world,18973398
-290,18,-899,34,world,18974454
-291,22,-899,34,world,18975219
-298,20,-895,34,world,18976396
-308,23,-889,34,world,18976525
-301,23,-894,34,world,18976678
-296,18,-892,34,world,18976707
-298,21,-896,34,world,18976972
-298,22,-904,34,world,18977006
-298,21,-897,34,world,18977041
-301,17,-889,34,world,18977117
-303,18,-891,34,world,18977363
-295,15,-885,34,world,18977429
-287,13,-889,34,world,18977494
-286,13,-888,34,world,18977599
-299,16,-886,34,world,18977660
-302,19,-884,34,world,18977738
-305,19,-882,34,world,18977816
-297,19,-890,34,world,18977882
-295,16,-885,34,world,18984728
-290,14,-884,34,world,18984826
-300,18,-887,34,world,18984899
-306,19,-882,34,world,18984936
-316,13,-880,34,world,18984993
-317,12,-881,34,world,18985193
-307,18,-881,34,world,18985554
-306,18,-881,34,world,18985613
-300,19,-883,34,world,18985671
-305,20,-882,34,world,18985750
-309,18,-879,34,world,18986000
-309,17,-879,34,world,18986065
-303,19,-883,34,world,18986918
-310,17,-879,34,world,18987152
-318,11,-879,34,world,18987488
-314,14,-879,34,world,18989101
-74,67,-4,34,world,18990198
-65,67,-13,34,world,18990235
-47,66,-34,34,world,18990331
-37,66,-41,34,world,18990360
-28,66,-45,34,world,18990387
-21,65,-49,34,world,18990414
-15,65,-54,34,world,18990441
-7,64,-60,34,world,18990473
12,65,-74,34,world,18990556
16,65,-83,34,world,18990590
18,65,-93,34,world,18990625
18,65,-105,34,world,18990659
12,64,-116,34,world,18990697
6,64,-126,34,world,18990736
1,68,-135,34,world,18990774
10,67,-161,34,world,18990870
2,69,-136,34,world,18990996
4,66,-118,34,world,18991058
6,67,-109,34,world,18991086
11,65,-100,34,world,18991117
19,65,-82,34,world,18991178
26,66,-77,34,world,18991204
34,65,-69,34,world,18991237
42,65,-61,34,world,18991270
47,66,-53,34,world,18991306
59,71,-47,34,world,18991375
60,76,-43,34,world,18991691
59,77,-43,34,world,18991804
55,68,-48,34,world,18991843
48,65,-58,34,world,18991884
47,65,-60,34,world,18992286
52,63,-76,34,world,18992460
59,61,-86,34,world,18992523
63,62,-93,34,world,18992565
67,61,-100,34,world,18992613
74,62,-110,34,world,18992692
83,62,-123,34,world,18992773
91,61,-134,34,world,18992855
112,62,-162,34,world,18993035
117,62,-170,34,world,18993082
122,63,-176,34,world,18993138
125,63,-180,34,world,18993199
128,60,-185,34,world,18993258
142,62,-202,34,world,18993370
150,62,-212,34,world,18993438
156,62,-219,34,world,18993496
163,62,-226,34,world,18993546
170,62,-236,34,world,18993607
177,62,-243,34,world,18993659
185,62,-249,34,world,18993711
193,62,-254,34,world,18993768
207,62,-262,34,world,18993849
218,62,-266,34,world,18993910
237,62,-275,34,world,18994029
258,62,-277,34,world,18994148
268,62,-275,34,world,18994200
278,62,-276,34,world,18994252
301,62,-279,34,world,18994372
310,62,-282,34,world,18994421
320,62,-289,34,world,18994482
325,62,-300,34,world,18994550
332,62,-312,34,world,18994615
335,62,-320,34,world,18994658
344,62,-336,34,world,18994752
348,62,-345,34,world,18994804
358,62,-363,34,world,18994907
372,62,-393,34,world,18995076
376,62,-404,34,world,18995137
381,62,-418,34,world,18995212
386,62,-430,34,world,18995278
393,62,-452,34,world,18995397
389,62,-460,34,world,18995445
373,62,-474,34,world,18995551
364,62,-480,34,world,18995606
358,62,-486,34,world,18995649
348,62,-493,34,world,18995711
341,62,-500,34,world,18995768
331,62,-507,34,world,18995824
324,62,-513,34,world,18995878
316,62,-520,34,world,18995926
307,62,-528,34,world,18995987
300,62,-537,34,world,18996046
291,63,-554,34,world,18996318
292,63,-555,34,world,18997549
287,64,-549,34,world,18997723
285,67,-547,34,world,18997804
282,77,-555,34,world,18997909
282,77,-559,34,world,18998177
280,78,-564,34,world,18998452
281,79,-568,34,world,18998726
284,77,-576,34,world,18998750
282,77,-586,34,world,18998808
285,77,-587,34,world,18998907
291,77,-584,34,world,18998948
291,78,-585,34,world,18998995
280,77,-600,34,world,18999196
282,79,-611,34,world,18999229
286,80,-622,34,world,18999270
286,80,-624,34,world,18999378
285,80,-626,34,world,18999429
291,78,-647,34,world,18999550
285,79,-649,34,world,18999578
279,79,-651,34,world,18999608
268,82,-658,34,world,18999659
272,78,-667,34,world,18999796
269,77,-669,34,world,18999852
264,81,-665,34,world,18999908
271,82,-658,34,world,18999938
273,80,-655,34,world,18999972
274,81,-659,34,world,19000318
283,81,-657,34,world,19000351
292,77,-656,34,world,19000378
302,79,-654,34,world,19000406
314,82,-653,34,world,19000476
318,85,-656,34,world,19000515
320,88,-660,34,world,19000568
316,84,-659,34,world,19000705
312,81,-651,34,world,19000736
310,79,-648,34,world,19000786
307,79,-655,34,world,19000952
310,79,-657,34,world,19000992
312,82,-638,34,world,19001227
289,82,-629,34,world,19001418
282,80,-629,34,world,19001439
277,80,-627,34,world,19001468
277,79,-626,34,world,19001567
279,79,-621,34,world,19001585
283,79,-614,34,world,19001729
289,81,-620,34,world,19001768
289,80,-627,34,world,19001852
287,81,-628,34,world,19001937
289,81,-631,34,world,19002019
283,81,-630,34,world,19002479
274,80,-644,34,world,19002560
273,79,-652,34,world,19002604
277,80,-656,34,world,19002629
276,79,-665,34,world,19002790
278,76,-679,34,world,19002833
277,76,-685,34,world,19002853
277,83,-700,34,world,19002917
288,88,-700,34,world,19003062
289,88,-700,34,world,19003088
289,91,-707,34,world,19003153
294,95,-711,34,world,19003190
296,99,-713,34,world,19003227
299,101,-719,34,world,19003397
298,88,-704,34,world,19003495
292,81,-694,34,world,19003573
289,80,-687,34,world,19003597
288,72,-691,34,world,19005206
289,73,-691,34,world,19005324
281,70,-683,34,world,19005366
278,65,-673,34,world,19005418
287,66,-661,34,world,19005484
274,66,-666,34,world,19005540
267,68,-672,34,world,19005595
269,67,-671,34,world,19005659
262,68,-669,34,world,19005908
271,68,-669,34,world,19005947
294,65,-653,34,world,19006082
299,63,-643,34,world,19006132
306,63,-637,34,world,19006248
307,62,-628,34,world,19006399
307,63,-627,34,world,19006509
295,63,-628,34,world,19006599
295,63,-627,34,world,19006680
300,64,-642,34,world,19006794
294,64,-651,34,world,19006844
295,65,-650,34,world,19006994
290,65,-660,34,world,19007068
261,68,-667,34,world,19007181
265,68,-672,34,world,19007240
276,65,-664,34,world,19007297
281,65,-670,34,world,19007384
279,69,-682,34,world,19007468
289,72,-695,34,world,19007587
289,78,-682,34,world,19008052
290,77,-673,34,world,19008081
291,78,-668,34,world,19008134
290,77,-654,34,world,19008254
286,79,-648,34,world,19008298
287,77,-641,34,world,19008360
282,78,-635,34,world,19008430
279,76,-638,34,world,19008484
279,80,-628,34,world,19008687
284,79,-618,34,world,19008726
294,82,-623,34,world,19008767
299,84,-630,34,world,19008813
301,85,-632,34,world,19008852
304,85,-631,34,world,19008908
303,84,-629,34,world,19008955
307,86,-621,34,world,19008986
319,83,-622,34,world,19009027
331,84,-624,34,world,19009069
342,83,-628,34,world,19009104
348,86,-639,34,world,19009212
348,89,-646,34,world,19009250
350,89,-650,34,world,19009302
354,87,-652,34,world,19009376
349,90,-660,34,world,19009418
346,93,-668,34,world,19009502
352,93,-672,34,world,19009524
354,88,-689,34,world,19009627
359,88,-688,34,world,19010325
354,89,-685,34,world,19010369
353,90,-682,34,world,19010697
361,89,-686,34,world,19010959
362,88,-685,34,world,19011012
361,88,-686,34,world,19011148
357,88,-688,34,world,19011214
362,89,-687,34,world,19011535
370,89,-697,34,world,19011581
371,86,-707,34,world,19011629
372,85,-715,34,world,19011659
372,80,-724,34,world,19011698
372,79,-732,34,world,19011745
