x,y,z,player,worldName,time
-81,66,2,38,world,23207378
-86,66,-4,38,world,23207705
-84,67,-8,38,world,23207807
-81,66,0,38,world,23208077
-87,66,0,38,world,23208241
-95,67,-2,38,world,23208268
-99,66,3,38,world,23208298
-96,66,14,38,world,23208335
-92,67,21,38,world,23208362
-97,67,18,38,world,23208389
-96,66,8,38,world,23208421
-89,66,-8,38,world,23208477
-94,66,-12,38,world,23208507
-101,66,-9,38,world,23208532
-110,64,-5,38,world,23208563
-118,64,1,38,world,23208598
-129,64,0,38,world,23208641
-138,63,-3,38,world,23208669
-154,63,-29,38,world,23208843
-153,63,-41,38,world,23208883
-154,65,-50,38,world,23208914
-157,64,-49,38,world,23208954
-161,65,-55,38,world,23209014
-163,64,-66,38,world,23209067
-156,63,-85,38,world,23209384
-154,70,-78,38,world,23209469
-154,79,-69,38,world,23209548
-150,83,-68,38,world,23209620
-137,83,-68,38,world,23209660
-122,84,-68,38,world,23209702
-107,84,-68,38,world,23209748
-89,83,-68,38,world,23209809
-70,83,-68,38,world,23209876
-52,83,-68,38,world,23209929
-36,84,-68,38,world,23209975
-21,83,-68,38,world,23210021
-10,84,-64,38,world,23210077
-10,83,-49,38,world,23210129
-10,83,-35,38,world,23210172
-10,83,-22,38,world,23210209
-10,83,-9,38,world,23210246
-10,83,4,38,world,23210302
-10,83,18,38,world,23210371
-10,83,34,38,world,23210424
-10,83,44,38,world,23210463
-10,83,55,38,world,23210499
-11,83,73,38,world,23211283
-22,84,73,38,world,23211318
-41,84,73,38,world,23211390
-51,84,73,38,world,23211419
-76,83,73,38,world,23211533
-78,82,77,38,world,23211576
-86,64,79,38,world,23212202
-95,64,79,38,world,23212252
-102,64,78,38,world,23212284
-120,64,79,38,world,23212365
-128,64,80,38,world,23212392
-135,65,82,38,world,23212708
-143,66,80,38,world,23212829
-151,68,70,38,world,23212881
-156,67,65,38,world,23212901
-160,66,61,38,world,23212919
-167,63,54,38,world,23212972
-174,63,49,38,world,23213012
-183,65,44,38,world,23213063
-189,66,43,38,world,23213094
-204,66,47,38,world,23213146
-212,65,50,38,world,23213188
-219,64,53,38,world,23213216
-226,66,56,38,world,23213254
-233,68,57,38,world,23213292
-244,73,67,38,world,23213414
-249,70,72,38,world,23213556
-249,70,73,38,world,23213618
-249,72,80,38,world,23213652
-256,75,90,38,world,23213854
-262,74,96,38,world,23214505
-271,75,102,38,world,23214559
-278,74,111,38,world,23214595
-287,76,120,38,world,23214649
-295,77,130,38,world,23214700
-302,79,135,38,world,23214750
-302,82,139,38,world,23214803
-306,85,146,38,world,23214862
-310,82,156,38,world,23215239
-316,84,160,38,world,23215902
-322,83,162,38,world,23215946
-335,85,170,38,world,23216050
-341,84,155,38,world,23216175
-344,84,149,38,world,23216413
-345,84,152,38,world,23216430
-343,84,154,38,world,23216483
-342,85,161,38,world,23216535
-344,85,162,38,world,23216564
-345,82,175,38,world,23216718
-352,76,173,38,world,23216771
-359,63,174,38,world,23217662
-363,65,180,38,world,23217875
-366,69,189,38,world,23217926
-370,68,200,38,world,23218000
-374,72,207,38,world,23218084
-381,74,206,38,world,23218166
-381,79,214,38,world,23218304
-377,71,224,38,world,23218445
-381,71,232,38,world,23218478
-390,72,238,38,world,23218513
-403,69,233,38,world,23218647
-408,68,231,38,world,23218674
-412,64,228,38,world,23218690
-414,63,221,38,world,23219944
-413,64,227,38,world,23221293
-414,64,224,38,world,23221661
-414,64,227,38,world,23221785
-414,63,227,38,world,23221848
-406,71,226,38,world,23222125
-393,74,228,38,world,23222194
-389,73,228,38,world,23222226
-382,73,228,38,world,23222246
-373,72,223,38,world,23222285
-368,68,215,38,world,23222333
-352,68,205,38,world,23222457
-352,69,201,38,world,23222485
-348,69,206,38,world,23222561
-335,66,205,38,world,23222677
-333,65,204,38,world,23222688
-321,70,204,38,world,23222805
