x,y,z,player,worldName,time
-80,66,0,14,world,2356207
-81,66,1,14,world,2355847
-78,66,4,14,world,2356232
-62,66,6,14,world,2356339
-80,67,4,14,world,2357003
-75,66,-16,14,world,2357481
-85,66,-2,14,world,2357292
-20,64,-36,14,world,2357879
-38,65,-34,14,world,2357697
-74,66,-16,14,world,2357482
-60,65,-23,14,world,2357554
-69,66,-14,14,world,2357503
-46,66,-38,14,world,2357633
-41,66,-38,14,world,2357675
-70,66,-3,14,world,2358337
-53,65,-25,14,world,2358458
-46,65,-26,14,world,2358484
-15,60,-26,14,world,2359105
-15,46,-25,14,world,2359208
-63,66,-12,14,world,2358378
-40,65,-26,14,world,2358504
-20,64,-28,14,world,2359064
-36,42,-21,14,world,2359405
-21,43,-26,14,world,2359708
-28,43,-24,14,world,2360521
-31,42,-22,14,world,2359490
-35,65,-44,14,world,2360854
6,64,-61,14,world,2360982
21,64,-89,14,world,2361153
40,64,-84,14,world,2361361
43,64,-79,14,world,2361394
-19,64,-52,14,world,2360907
-36,65,-30,14,world,2360790
-11,65,-55,14,world,2360929
18,64,-67,14,world,2361033
22,64,-85,14,world,2361131
27,63,-97,14,world,2361243
24,65,-76,14,world,2361094
23,64,-95,14,world,2361211
46,64,-72,14,world,2361424
52,65,-55,14,world,2361806
53,67,-48,14,world,2361852
58,68,-48,14,world,2363933
85,65,-25,14,world,2364114
73,65,-36,14,world,2364061
101,65,-18,14,world,2364174
56,68,-48,14,world,2363926
87,64,-24,14,world,2364120
103,66,-17,14,world,2364187
53,69,-46,14,world,2363907
69,65,-39,14,world,2364024
115,69,-40,14,world,2364787
106,69,-16,14,world,2364206
116,69,-46,14,world,2364808
105,69,-15,14,world,2364642
151,64,-66,14,world,2364999
153,64,-67,14,world,2365004
128,64,-63,14,world,2364908
153,64,-66,14,world,2365002
159,64,-73,14,world,2365455
183,62,-99,14,world,2365796
159,63,-70,14,world,2365437
196,62,-110,14,world,2365842
225,62,-133,14,world,2365993
270,62,-171,14,world,2366163
227,62,-135,14,world,2366002
169,62,-86,14,world,2365582
181,62,-97,14,world,2365726
259,62,-162,14,world,2366128
275,62,-175,14,world,2366179
288,62,-185,14,world,2366220
309,62,-203,14,world,2366450
286,62,-184,14,world,2366215
312,62,-205,14,world,2366459
334,62,-250,14,world,2366821
347,62,-280,14,world,2366905
344,62,-304,14,world,2366969
361,62,-358,14,world,2367115
