block,x,y,z,player,worldName,time
NETHER_QUARTZ_ORE,133,57,-255,1,world_nether,4152201
NETHER_QUARTZ_ORE,137,77,-163,1,world_nether,4153845
NETHER_QUARTZ_ORE,137,77,-163,1,world_nether,4153802
NETHERRACK,59,9,-22,1,world_nether,4173357
NETHERRACK,59,9,-22,1,world_nether,4173581
NETHERRACK,59,9,5,1,world_nether,4174825
GRAVEL,59,9,5,1,world_nether,4175686
NETHERRACK,59,9,13,1,world_nether,4203993
NETHERRACK,59,9,22,1,world_nether,4204551
NETHERRACK,55,9,31,1,world_nether,4205159
BLACKSTONE,58,9,-16,1,world_nether,4206370
NETHERRACK,58,9,-17,1,world_nether,4206398
FIRE,83,8,-47,1,world_nether,4208064
FIRE,82,6,-48,1,world_nether,4207984
FIRE,83,7,-59,1,world_nether,4208848
FIRE,82,9,-66,1,world_nether,4209756
NETHERRACK,82,9,-75,1,world_nether,4210447
FIRE,83,7,-77,1,world_nether,4210809
NETHERRACK,59,9,-48,1,world_nether,4212182
FIRE,52,7,-50,1,world_nether,4213683
FIRE,52,6,-52,1,world_nether,4213757
NETHERRACK,82,9,-25,1,world_nether,4215037
NETHERRACK,82,9,-7,1,world_nether,4215900
NETHERRACK,83,6,-9,1,world_nether,4216806
NETHERRACK,79,7,-81,1,world_nether,4218388
NETHERRACK,78,7,-81,1,world_nether,4218406
NETHERRACK,58,8,-81,1,world_nether,4219264
NETHERRACK,63,8,-81,1,world_nether,4219181
NETHERRACK,52,7,-81,1,world_nether,4219892
FIRE,44,5,-82,1,world_nether,4220315
FIRE,55,6,-79,1,world_nether,4220533
NETHERRACK,100,49,235,1,world_nether,4270211
NETHERRACK,100,49,235,1,world_nether,4270205
NETHERRACK,170,66,134,1,world_nether,4271790
NETHERRACK,167,58,145,1,world_nether,4271507
NETHERRACK,170,47,152,1,world_nether,4271291
NETHERRACK,170,66,133,1,world_nether,4271800
NETHERRACK,172,67,128,1,world_nether,4271863
NETHER_QUARTZ_ORE,107,103,9,1,world_nether,4292789
NETHER_QUARTZ_ORE,110,103,15,1,world_nether,4292874
NETHER_QUARTZ_ORE,175,63,146,1,world_nether,4294180
NETHERRACK,223,40,220,1,world_nether,4294867
NETHERRACK,234,41,221,1,world_nether,4295095
NETHERRACK,248,41,221,1,world_nether,4295236
NETHERRACK,223,40,220,1,world_nether,4294866
NETHERRACK,236,41,221,1,world_nether,4295109
NETHERRACK,255,41,221,1,world_nether,4295268
NETHERRACK,288,41,217,1,world_nether,4295711
NETHERRACK,279,41,221,1,world_nether,4295632
NETHERRACK,285,41,219,1,world_nether,4295685
NETHERRACK,291,41,214,1,world_nether,4295737
NETHERRACK,285,41,218,1,world_nether,4295690
NETHERRACK,220,39,218,1,world_nether,4300876
NETHERRACK,172,64,144,1,world_nether,4331253
NETHERRACK,172,66,142,1,world_nether,4331291
OBSIDIAN,132,98,6,1,world_nether,4609138
NETHERRACK,89,10,-29,1,world_nether,4650902
NETHERRACK,82,8,-72,1,world_nether,4651734
NETHERRACK,82,8,-103,1,world_nether,4653668
NETHERRACK,77,7,-90,1,world_nether,4655263
FIRE,55,6,-89,1,world_nether,4658680
FIRE,46,10,-94,1,world_nether,4660103
NETHERRACK,35,10,-99,1,world_nether,4661732
FIRE,26,9,-99,1,world_nether,4662882
FIRE,7,6,-100,1,world_nether,4665030
FIRE,3,4,-100,1,world_nether,4665105
FIRE,-6,5,-101,1,world_nether,4666182
FIRE,-15,5,-100,1,world_nether,4667058
BASALT,47,8,-28,1,world_nether,4669758
NETHERRACK,45,7,-51,1,world_nether,4670674
NETHERRACK,69,100,17,1,world_nether,5887027
NETHERRACK,60,100,20,1,world_nether,5887117
NETHERRACK,66,100,18,1,world_nether,5887064
NETHERRACK,59,101,21,1,world_nether,5887130
NETHERRACK,43,101,30,1,world_nether,5887291
NETHERRACK,42,101,31,1,world_nether,5887298
NETHERRACK,41,101,31,1,world_nether,5887304
NETHERRACK,43,101,30,1,world_nether,5887291
NETHERRACK,32,101,39,1,world_nether,5887377
NETHERRACK,35,87,115,1,world_nether,5887853
NETHERRACK,29,87,120,1,world_nether,5887902
NETHERRACK,27,101,43,1,world_nether,5887411
NETHERRACK,36,87,115,1,world_nether,5887837
NETHERRACK,32,87,117,1,world_nether,5887876
NETHERRACK,18,87,129,1,world_nether,5887983
NETHERRACK,27,87,122,1,world_nether,5887915
NETHERRACK,7,87,138,1,world_nether,5888088
NETHERRACK,-7,87,152,1,world_nether,5888218
NETHERRACK,-3,87,148,1,world_nether,5888182
NETHERRACK,20,87,128,1,world_nether,5887974
NETHERRACK,5,87,141,1,world_nether,5888113
NETHERRACK,16,87,131,1,world_nether,5888003
NETHERRACK,-4,87,150,1,world_nether,5888193
NETHERRACK,1,87,145,1,world_nether,5888150
NETHERRACK,-18,87,163,1,world_nether,5888513
NETHERRACK,-37,87,177,1,world_nether,5888735
NETHERRACK,-21,87,165,1,world_nether,5888520
NETHERRACK,-38,87,178,1,world_nether,5888744
NETHERRACK,-51,87,190,1,world_nether,5889080
NETHERRACK,-30,87,174,1,world_nether,5888659
NETHERRACK,-21,87,164,1,world_nether,5888520
NETHERRACK,-38,87,177,1,world_nether,5888739
NETHERRACK,-51,87,190,1,world_nether,5889079
BASALT,-91,83,200,1,world_nether,5889978
BASALT,-94,83,202,1,world_nether,5890067
NETHERRACK,-112,83,216,1,world_nether,5890532
NETHERRACK,-130,83,231,1,world_nether,5890690
NETHERRACK,-117,83,220,1,world_nether,5890579
NETHERRACK,-142,83,242,1,world_nether,5890806
BASALT,-95,83,203,1,world_nether,5890085
BASALT,-89,83,198,1,world_nether,5889905
BASALT,-109,83,214,1,world_nether,5890478
NETHERRACK,-129,83,229,1,world_nether,5890677
NETHERRACK,-111,83,216,1,world_nether,5890527
NETHERRACK,-129,83,230,1,world_nether,5890680
NETHERRACK,-142,83,242,1,world_nether,5890805
NETHERRACK,-145,83,244,1,world_nether,5890855
NETHERRACK,-159,83,257,1,world_nether,5891011
NETHERRACK,-179,83,277,1,world_nether,5891211
NETHERRACK,-154,83,253,1,world_nether,5890973
NETHERRACK,-168,83,267,1,world_nether,5891106
NETHERRACK,-187,83,285,1,world_nether,5891291
NETHERRACK,-152,83,250,1,world_nether,5890950
NETHERRACK,-184,83,283,1,world_nether,5891265
NETHERRACK,-156,83,254,1,world_nether,5890985
NETHERRACK,-175,83,273,1,world_nether,5891170
NETHERRACK,-195,83,294,1,world_nether,5891388
BASALT,-513,87,273,1,world_nether,5892533
NETHERRACK,-534,87,261,1,world_nether,5893298
NETHER_QUARTZ_ORE,-511,86,273,1,world_nether,5892431
BASALT,-522,87,272,1,world_nether,5892902
BASALT,-530,87,265,1,world_nether,5893162
BASALT,-548,87,246,1,world_nether,5893588
NETHERRACK,-552,89,228,1,world_nether,5894472
BLACKSTONE,-551,87,244,1,world_nether,5893655
NETHERRACK,-551,88,230,1,world_nether,5894094
BASALT,-548,87,247,1,world_nether,5893572
NETHER_QUARTZ_ORE,-553,89,228,1,world_nether,5894165
BASALT,-545,87,249,1,world_nether,5893488
NETHERRACK,-552,89,219,1,world_nether,5894619
BASALT,-552,89,167,1,world_nether,5895371
NETHERRACK,-552,89,207,1,world_nether,5894769
BASALT,-552,89,175,1,world_nether,5895228
NETHERRACK,-552,89,145,1,world_nether,5895712
BASALT,-552,88,188,1,world_nether,5895013
NETHERRACK,-552,89,206,1,world_nether,5894784
BASALT,-552,89,172,1,world_nether,5895287
BASALT,-552,88,141,1,world_nether,5895764
BLACKSTONE,-552,88,142,1,world_nether,5895727
NETHERRACK,-283,85,-230,1,world_nether,11595273
NETHERRACK,-279,85,-234,1,world_nether,11595332
NETHERRACK,-274,85,-239,1,world_nether,11595377
NETHERRACK,-271,85,-244,1,world_nether,11595421
NETHERRACK,-272,85,-248,1,world_nether,11595447
NETHERRACK,-277,85,-251,1,world_nether,11595480
NETHERRACK,-279,85,-252,1,world_nether,11595776
NETHER_QUARTZ_ORE,-55,47,-155,1,world_nether,11597110
NETHERRACK,-48,47,-150,1,world_nether,11597212
NETHERRACK,-45,47,-147,1,world_nether,11597254
NETHERRACK,-41,47,-144,1,world_nether,11598133
NETHERRACK,-37,47,-142,1,world_nether,11598201
NETHERRACK,-33,47,-138,1,world_nether,11598254
NETHERRACK,-29,47,-134,1,world_nether,11598301
NETHERRACK,-24,47,-129,1,world_nether,11598346
NETHERRACK,-19,47,-124,1,world_nether,11598393
NETHERRACK,-14,47,-119,1,world_nether,11598443
NETHERRACK,-9,47,-114,1,world_nether,11598493
NETHERRACK,-4,47,-109,1,world_nether,11598543
NETHERRACK,111,47,-109,1,world_nether,11601187
NETHERRACK,111,47,-95,1,world_nether,11601237
NETHERRACK,111,47,-86,1,world_nether,11601268
NETHERRACK,113,32,-65,1,world_nether,11601720
NETHERRACK,113,34,-63,1,world_nether,11601781
NETHERRACK,113,37,-56,1,world_nether,11601841
NETHERRACK,113,40,-51,1,world_nether,11601897
NETHERRACK,113,43,-45,1,world_nether,11602107
NETHERRACK,-204,41,354,1,world_nether,13166608
NETHERRACK,-239,43,382,1,world_nether,13167028
NETHERRACK,-1,76,177,1,world_nether,14764823
NETHERRACK,36,72,198,1,world_nether,14765577
NETHERRACK,42,74,199,1,world_nether,14765671
NETHERRACK,46,78,197,1,world_nether,14765786
NETHERRACK,47,80,193,1,world_nether,14765849
NETHERRACK,47,86,186,1,world_nether,14765947
NETHERRACK,47,88,180,1,world_nether,14766012
NETHERRACK,49,88,178,1,world_nether,14766050
NETHERRACK,52,90,175,1,world_nether,14766115
NETHERRACK,56,93,173,1,world_nether,14766166
NETHERRACK,60,95,170,1,world_nether,14766233
NETHERRACK,63,96,169,1,world_nether,14766273
NETHERRACK,65,97,168,1,world_nether,14766311
NETHERRACK,68,98,165,1,world_nether,14766366
NETHERRACK,70,99,163,1,world_nether,14766415
NETHERRACK,73,102,161,1,world_nether,14766489
NETHERRACK,77,104,159,1,world_nether,14766552
NETHERRACK,81,105,158,1,world_nether,14766608
OBSIDIAN,113,100,1,1,world_nether,14770310
GLOWSTONE,-513,51,10,1,world_nether,17614791
NETHERRACK,-517,27,28,1,world_nether,17615497
NETHERRACK,-517,27,23,1,world_nether,17616477
NETHERRACK,-531,22,24,1,world_nether,17618556
NETHERRACK,-537,18,24,1,world_nether,17618787
NETHERRACK,-543,14,24,1,world_nether,17619013
FIRE,-551,10,23,1,world_nether,17619539
NETHERRACK,-562,10,24,1,world_nether,17620372
NETHERRACK,-570,10,21,1,world_nether,17620844
NETHERRACK,-570,10,19,1,world_nether,17621044
NETHERRACK,-573,10,28,1,world_nether,17621168
NETHERRACK,-547,12,24,1,world_nether,17622226
NETHERRACK,-544,13,20,1,world_nether,17622347
NETHERRACK,-546,13,10,1,world_nether,17622767
NETHERRACK,-559,13,9,1,world_nether,17623116
NETHERRACK,-568,13,10,1,world_nether,17624522
NETHERRACK,-580,13,9,1,world_nether,17626563
NETHERRACK,-577,13,15,1,world_nether,17626845
NETHERRACK,-589,13,21,1,world_nether,17627733
NETHERRACK,-602,12,21,1,world_nether,17628414
NETHERRACK,-616,12,23,1,world_nether,17629258
NETHERRACK,-544,13,26,1,world_nether,17630731
FIRE,-544,13,39,1,world_nether,17631155
NETHERRACK,-531,13,45,1,world_nether,17631876
NETHERRACK,-522,13,45,1,world_nether,17632574
NETHERRACK,-509,12,45,1,world_nether,17634039
NETHERRACK,-506,11,37,1,world_nether,17634986
BLACKSTONE,-505,11,27,1,world_nether,17635355
FIRE,-506,9,30,1,world_nether,17643176
NETHERRACK,-502,11,36,1,world_nether,17643559
NETHERRACK,-608,13,24,1,world_nether,17645470
NETHERRACK,-618,12,40,1,world_nether,17646750
FIRE,-628,14,40,1,world_nether,17649896
NETHERRACK,-630,13,48,1,world_nether,17651099
SHULKER_BOX,-518,27,24,1,world_nether,17653396
NETHERRACK,-534,13,52,1,world_nether,17656982
FIRE,-535,9,65,1,world_nether,17657751
NETHERRACK,-527,12,66,1,world_nether,17658231
NETHERRACK,-521,10,69,1,world_nether,17659090
NETHERRACK,-521,12,80,1,world_nether,17660871
NETHERRACK,-512,12,86,1,world_nether,17661234
NETHERRACK,-502,12,86,1,world_nether,17661285
FIRE,-505,12,87,1,world_nether,17661942
NETHERRACK,-487,10,86,1,world_nether,17662775
FIRE,-482,8,78,1,world_nether,17663262
NETHERRACK,-478,8,75,1,world_nether,17663567
NETHERRACK,-540,13,14,1,world_nether,17669260
ANCIENT_DEBRIS,-529,13,14,1,world_nether,17669717
NETHERRACK,-531,13,33,1,world_nether,17670251
NETHERRACK,-527,14,35,1,world_nether,17670740
NETHERRACK,-525,15,38,1,world_nether,17671219
NETHERRACK,-528,20,41,1,world_nether,17671415
FIRE,-533,9,74,1,world_nether,17673520
NETHERRACK,-516,27,29,1,world_nether,17676181
NETHERRACK,-516,21,30,1,world_nether,17676883
NETHER_BRICKS,-64,57,153,1,world_nether,17692825
NETHER_BRICKS,-70,57,155,1,world_nether,17693025
NETHER_BRICKS,-70,57,156,1,world_nether,17693207
NETHER_BRICKS,-68,57,158,1,world_nether,17693375
NETHER_BRICKS,-53,57,170,1,world_nether,17694162
NETHER_BRICKS,-33,57,169,1,world_nether,17694382
NETHER_BRICKS,-18,57,163,1,world_nether,17695352
NETHERRACK,-20,57,168,1,world_nether,17695757
COBBLESTONE,-100,57,144,1,world_nether,17697932
NETHER_BRICKS,-101,59,132,1,world_nether,17698126
NETHER_BRICKS,-61,57,178,1,world_nether,17699604
NETHER_BRICKS,-63,57,203,1,world_nether,17700137
NETHER_BRICKS,-18,57,199,1,world_nether,17702076
NETHER_BRICKS,-63,57,164,1,world_nether,17702956
NETHER_BRICKS,-81,57,168,1,world_nether,17707330
BASALT,-80,57,169,1,world_nether,17707745
NETHER_BRICKS,-64,57,170,1,world_nether,17707940
NETHER_BRICKS,-69,57,186,1,world_nether,17708106
BASALT,-92,57,186,1,world_nether,17709928
NETHER_BRICKS,-88,57,186,1,world_nether,17710102
BASALT,-79,57,187,1,world_nether,17710284
COBBLESTONE,-70,57,179,1,world_nether,17711865
NETHER_BRICKS,-17,57,180,1,world_nether,17712490
NETHER_BRICKS,-44,65,176,1,world_nether,17715378
NETHER_BRICK_FENCE,-24,57,167,1,world_nether,17718042
NETHER_BRICKS,-44,57,167,1,world_nether,17718430
COBBLESTONE,-121,57,169,1,world_nether,17719583
BASALT,-122,57,161,1,world_nether,17719751
NETHER_BRICKS,-122,57,173,1,world_nether,17719918
NETHERRACK,-118,57,174,1,world_nether,17720062
NETHERRACK,-118,57,170,1,world_nether,17720218
BASALT,-91,57,169,1,world_nether,17721977
NETHER_BRICKS,-113,57,169,1,world_nether,17722163
NETHERRACK,-111,57,169,1,world_nether,17724232
BASALT,-93,57,170,1,world_nether,17724414
NETHER_BRICKS,-129,57,168,1,world_nether,17724630
BASALT,-111,57,167,1,world_nether,17724830
NETHER_BRICKS,-93,57,166,1,world_nether,17724998
NETHER_BRICKS,-117,57,167,1,world_nether,17725168
BASALT,-98,57,166,1,world_nether,17725345
BASALT,-121,57,161,1,world_nether,17728244
NETHER_BRICK_FENCE,-47,57,166,1,world_nether,17739567
BLACKSTONE,-366,34,105,1,world_nether,17749076
BASALT,-417,34,106,1,world_nether,17749258
BLACKSTONE,-551,49,155,1,world_nether,17917026
BASALT,-522,49,139,1,world_nether,17917203
NETHER_BRICKS,-9,52,134,1,world_nether,17918357
NETHER_BRICKS,-64,57,166,1,world_nether,17919132
NETHER_BRICKS,-66,57,163,1,world_nether,17919299
NETHER_BRICKS,-58,57,189,1,world_nether,17919631
NETHERRACK,-30,57,168,1,world_nether,17921308
NETHER_BRICKS,-21,57,168,1,world_nether,17921464
NETHER_BRICKS,-22,57,172,1,world_nether,17921638
BASALT,-122,57,184,1,world_nether,17922832
BASALT,-122,57,177,1,world_nether,17922995
NETHER_BRICKS,-118,57,179,1,world_nether,17923161
BASALT,-120,57,180,1,world_nether,17923339
BASALT,-121,57,180,1,world_nether,17923510
BASALT,-123,57,187,1,world_nether,17923776
BASALT,-113,57,187,1,world_nether,17923946
BASALT,-113,57,185,1,world_nether,17924116
NETHER_BRICKS,-105,57,185,1,world_nether,17924427
BASALT,-118,57,186,1,world_nether,17924595
BASALT,-118,57,185,1,world_nether,17924880
BLACKSTONE,-100,57,179,1,world_nether,17925408
BLACKSTONE,-99,57,173,1,world_nether,17925591
BLACKSTONE,-102,57,179,1,world_nether,17925789
BASALT,-102,57,183,1,world_nether,17926024
BASALT,-111,57,187,1,world_nether,17926270
BASALT,-116,57,186,1,world_nether,17926394
BASALT,-123,57,186,1,world_nether,17926499
NETHER_BRICKS,-20,57,172,1,world_nether,17932224
NETHERRACK,-28,57,174,1,world_nether,17932353
BASALT,-100,57,190,1,world_nether,17932961
NETHER_BRICKS,-100,57,191,1,world_nether,17933058
BASALT,-102,57,191,1,world_nether,17933367
